disease,year,label_ha,label_hsda,BC_F,BC_M,BC_T,HA_F,HA_M,HA_T,HSDA_F,HSDA_M,HSDA_T,,,
Flower Deafness,2000,Interior,East Kootenay,17,27,44,0,5,5,0,1,1,,,
Flower Deafness,2000,Interior,Kootenay Boundary,17,27,44,0,5,5,0,1,1,,,
Flower Deafness,2000,Interior,Okanagan,17,27,44,0,5,5,0,0,0,,,
Flower Deafness,2000,Interior,Thompson Cariboo Shuswap,17,27,44,0,5,5,0,3,3,,,
Flower Deafness,2000,Fraser,Fraser East,17,27,44,5,4,9,2,2,4,,,
Flower Deafness,2000,Fraser,Fraser North,17,27,44,5,4,9,2,1,3,,,
Flower Deafness,2000,Fraser,Fraser South,17,27,44,5,4,9,1,1,2,,,
Flower Deafness,2000,Vancouver Coastal,Richmond,17,27,44,2,8,10,1,3,4,,,
Flower Deafness,2000,Vancouver Coastal,Vancouver,17,27,44,2,8,10,1,2,3,,,
Flower Deafness,2000,Vancouver Coastal,North Shore/Coast Garibaldi,17,27,44,2,8,10,0,3,3,,,
Flower Deafness,2000,Vancouver Island,South Vancouver Island,17,27,44,5,6,11,3,3,6,,,
Flower Deafness,2000,Vancouver Island,Central Vancouver Island,17,27,44,5,6,11,2,3,5,,,
Flower Deafness,2000,Vancouver Island,North Vancouver Island,17,27,44,5,6,11,0,0,0,,,
Flower Deafness,2000,Northern,Northwest,17,27,44,5,4,9,1,2,3,,,
Flower Deafness,2000,Northern,Northern Interior,17,27,44,5,4,9,2,1,3,,,
Flower Deafness,2000,Northern,Northeast,17,27,44,5,4,9,2,1,3,,,
,,,,,,,,,,,,,,,
