disease,year,label_ha,label_hsda,BC_F,BC_M,BC_T,HA_F,HA_M,HA_T,HSDA_F,HSDA_M,HSDA_T,,,
Flower Deafness,2000,Interior,East Kootenay,160,125,285,37,37,74,8,10,18,,,
Flower Deafness,2000,Interior,Kootenay Boundary,160,125,285,37,37,74,8,6,14,,,
Flower Deafness,2000,Interior,Okanagan,160,125,285,37,37,74,5,5,10,,,
Flower Deafness,2000,Interior,Thompson Cariboo Shuswap,160,125,285,37,37,74,16,16,32,,,
Flower Deafness,2000,Fraser,Fraser East,160,125,285,37,28,65,7,12,19,,,
Flower Deafness,2000,Fraser,Fraser North,160,125,285,37,28,65,14,11,25,,,
Flower Deafness,2000,Fraser,Fraser South,160,125,285,37,28,65,16,5,21,,,
Flower Deafness,2000,Vancouver Coastal,Richmond,160,125,285,33,19,52,7,11,18,,,
Flower Deafness,2000,Vancouver Coastal,Vancouver,160,125,285,33,19,52,14,3,17,,,
Flower Deafness,2000,Vancouver Coastal,North Shore/Coast Garibaldi,160,125,285,33,19,52,12,5,17,,,
Flower Deafness,2000,Vancouver Island,South Vancouver Island,160,125,285,24,16,40,8,9,17,,,
Flower Deafness,2000,Vancouver Island,Central Vancouver Island,160,125,285,24,16,40,3,3,6,,,
Flower Deafness,2000,Vancouver Island,North Vancouver Island,160,125,285,24,16,40,13,4,17,,,
Flower Deafness,2000,Northern,Northwest,160,125,285,29,25,54,7,5,12,,,
Flower Deafness,2000,Northern,Northern Interior,160,125,285,29,25,54,10,9,19,,,
Flower Deafness,2000,Northern,Northeast,160,125,285,29,25,54,12,11,23,,,
,,,,,,,,,,,,,,,
